id,duration,dispoStatus,billable,state,words
767,262.512,XFER,1,GA,880
768,468.936,XFER,1,FL,1618
769,381.384,XFER,1,SC,1033
770,186.84,XFER,1,FL,660
771,146.736,XFER,1,MI,416
772,155.16,XFER,1,TX,492
773,302.112,XFER,1,AR,976
774,397.944,XFER,0,KY,1157
775,368.784,XFER,1,NY,1185
776,40.104,XFER,0,MA,62
777,230.688,XFER,1,NC,555
778,217.512,XFER,0,NE,598
779,218.16,XFER,1,TX,626
780,305.712,XFER,1,VA,828
781,103.68,XFER,1,CA,299
782,164.88,XFER,1,OH,467
783,495.072,XFER,1,LA,1600
784,243.288,XFER,0,WV,720
785,291.816,XFER,1,AL,997
786,126.864,XFER,1,KY,418
787,221.472,XFER,1,DC,625
788,387.36,XFER,1,TX,842
789,243.432,XFER,1,CA,593
790,296.784,XFER,1,PA,740
791,585.936,XFER,1,NE,1475
792,232.848,XFER,0,WV,585
793,259.92,XFER,1,LA,737
794,296.208,XFER,1,TX,864
795,115.992,XFER,1,TX,341
796,115.632,XFER,1,OH,300
797,446.328,XFER,1,PA,1378
798,219.24,XFER,1,CA,627
799,256.176,XFER,1,NY,614
800,233.712,XFER,1,WA,682
801,201.312,XFER,0,MI,511
802,316.368,XFER,0,NV,915
803,20.448,XFER,1,MA,30
804,158.256,XFER,1,KY,463
805,394.776,XFER,1,NY,1067
806,272.232,XFER,1,WA,885
807,228.384,XFER,1,OK,622
808,107.64,XFER,0,TX,310
809,261.288,XFER,1,DC,782
810,282.96,XFER,0,TX,941
811,66.24,XFER,1,NY,112
812,177.696,XFER,0,TN,478
813,488.016,XFER,1,TX,1406
814,81.432,XFER,1,TX,245
815,125.208,XFER,0,NY,190
816,248.688,XFER,0,AR,711
817,248.76,XFER,1,NC,793
818,174.888,XFER,1,AL,533
819,154.944,XFER,0,TN,417
820,250.416,XFER,0,FL,280
821,40.32,XFER,0,ID,56
822,132.552,XFER,1,PA,291
823,424.152,XFER,1,KS,886
824,282.744,XFER,1,PA,864
825,226.656,XFER,1,IL,554
826,222.552,XFER,1,AR,609
827,333.72,XFER,1,OH,827
828,320.688,XFER,1,VA,923
829,225.144,XFER,1,WV,655
830,151.776,XFER,1,AL,492
831,300.24,XFER,1,ID,949
832,254.16,XFER,1,LA,692
833,331.992,XFER,1,WA,879
834,395.712,XFER,1,PA,1137
835,325.584,XFER,1,TX,1007
836,227.16,XFER,1,MN,719
837,326.16,XFER,0,NY,1186
838,34.56,XFER,1,FL,43
839,190.656,XFER,1,AL,631
840,168.264,XFER,0,WI,486
841,98.28,XFER,1,GA,287
842,409.824,XFER,1,IN,1302
843,465.768,XFER,0,LA,1398
844,123.696,XFER,0,MI,308
845,374.4,XFER,1,TX,818
846,215.712,XFER,1,FL,687
847,181.008,XFER,1,KS,628
848,86.328,XFER,1,TX,268
849,238.392,XFER,1,NJ,762
850,38.952,XFER,0,FL,51
851,405.504,XFER,1,FL,1404
852,213.912,XFER,1,TN,714
853,260.208,XFER,1,NY,639
854,329.4,XFER,1,MS,885
855,210.528,XFER,1,LA,550
856,250.776,XFER,1,CA,740
857,197.064,XFER,1,FL,499
858,301.752,XFER,0,FL,909
859,229.608,XFER,0,KY,707
860,172.872,XFER,0,PA,544
861,185.976,XFER,1,NJ,452
862,240.192,XFER,0,MS,695
863,155.088,XFER,1,GA,505
864,319.032,XFER,1,FL,982
